SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,JQhl01I9whYrqY93kw3dkYDINf40bN3Cu2kQwk-cyjqgu0O-d5mMRztnKcEGxBDEEQASpC95CX7cMw,305ad08f-956f-4cff-9101-b69b9a41486d,75,198,202,I
,VYmo_Ef6RY5SaACowmJlGt8oIIYLyDgHnJuvQyGMgtLwjrUMWM-516oCC7ET4t5PKG7XnvDxToTbkg,964e6f0a-4d44-446b-8d4b-5de577be9987,74,34,18,I
,YQDvs0HIbxX4T8yXo6feJzSwx53FR05esgzL9qs38_YA3r7OXv0KYZllAAJils2jgJgWA1cikV3mOQ,d2516c0a-f8d6-472a-93b1-bb0012e73ae8,12,525,531,I
,AG3zjoQS5nlN3wd9ZE4tJeu-Wj0gWXPmjHrxoZK-JRmQlH0rRtGzw-D4YGwbZ7pSGn6wsQggFn3XuQ,0a1163ed-80d6-41ca-ab98-6ddebba282e7,4,60,57,I
,KbMdAmYkWHXJm7373adXZ0TnvXNkQjUBIELMOFAU9n88HD3AhUVVJpmW70mCLyeurCUnJos8oINKog,0a1b45be-2f3e-44dc-a3f5-7d5510b28336,75,95,73,I
,HMrgPXg_DXd7P4K8g-CNU9uvWn1NWNqWwGkfmhLCa3sMTcJQC3vraW9eCBdH_1a4cn984p7fqAx2kA,ff0a23ac-747a-4b41-84b3-2c87aec6e869,75,125,141,I
,t5hoDwopv-FKCQKLNlBrDER08hB5MjstcVB2BUbsbX34lDuiYpIY3ehZGneWhuhLWNx4ocOkIO-8HA,87f128b6-aa45-48ab-8f32-9693b173638e,80,128,103,I
,cRj7A-TURLWaulcWbfADyxSlZmkd77A3FmdpuXjmclXXhlUC4z2JBGuXfgCEtjjt47Iu1aLQ0G_5-Q,c29f0aa0-3920-481c-8d2f-b87d982d809b,75,123,104,I
,f7QppkOMfHHGb1uO4m9E3PAPwKRczschasgwU5uBDkAuo5mv61hq_4XZpzn1cGrH_zLaJdr-JGs_EA,267aca17-b539-46be-ac0c-5851b8cae5dd,35,106,95,I
,41Ef6ZZ0JWhNKgGkMQwbWHi1rTLsX84h-wLXPRvoXsElgO4A4UTmnIbsRN6HZZDP5k1ix1AXmBqbBg,8945c870-d907-4048-867f-8e4ce4cc627c,60,124,129,I
,IssZu8NtoO0cnsI9Ip_4Vydei4KOJkNwcPbAF7Xk14PlgdTLuw92bNDJzhyFzejemDT3Oi4IUnaozw,9763d7a7-947c-40ea-b66f-d16aeac66e5b,0,76,43,I
,_BQWwxqmRtGCBvLUCmVqAdHen0pUgNg0K-q0-vSrx6XMUhNdcbGRUcqd5NUKQoD53fkX4uWFbYhJDg,7bcc4dea-8717-4709-bfa0-29b240d32b9a,75,134,102,I
,80IZ9H6eM97MJf-KMzQFIOO4kEyOzAQUbwhwMnX3UpGVPs69ri9Jf7H3Vu_exj-3HPkJ2ubC_sCQtQ,25e134d3-9330-4102-b7df-2b136fce165c,3,117,57,I
,U7Ci9dlcDgZQwBD4KrvLWG_KdrpyMVCX3CK7QDuENUFjk6LxRX4gurBfQRh422iaDdd3booEL8jk0A,fcb34dbf-599c-4585-b05b-ed91cdde7c4e,75,213,188,I
,-4GbVtRoVMbpD09yWIkZLWK_nBqypxX7iM61v-DJkdZ0uHmQJ55BDqR8n5lCu9yBe17javskdqRKgw,20926a38-994c-4221-935b-c9bf0b5d3075,75,170,157,I
,jVbyIPH3HmNOl5sGBib-St1NgUPQpyJQ-ac4lT2TOtBh58gZ-n2fvp8-8OE6XqtZS3ejR3ySr243Ng,c119d005-27fb-423f-b97e-5aa1fddb1a9d,75,155,130,I
,bH_C4n_K5RaWkdX8WKOEbOEJcBVqgNdAc1n3-9bNl8E0m9A87mok3Y9Spu8ONBB5Il0IuEWUJp-uKg,7f9bf877-81ab-46ca-969c-109ead924df9,75,95,63,I
,VkPfL_R1D3gmikPp4dB3y8rnsLcZqffPI1hbsmMFGhMAUVVBpBN5GXjoNYImfodpTRog6oR5c9t1Wg,405b9b0d-a025-480a-8a24-2b2e8b0ddb2b,66,121,117,I
,-ZwD1mlZ68kBY9nJcvmNJ7zGdgXKbPQrqMKF4_My0REIwCclKf5T9ThvyCXhiIkl7-AHXaMOquI1yw,e2ecc448-52ab-4eda-8376-24b7891f2339,75,118,38,I
,6VpAn0EALKVQ5Jo8x02aPQvL5kPh8RKdutqTopeyDj_k9rKDiAgEJ2apHZOhfR7W0rIAw0CAJV4I7w,b72cf5ff-3d8f-4d2a-882b-19edb4d99e65,46,211,214,I
,PyGeuNSMK6gWX4NR9AlN6Q6Vo26GO_gz2f6UWMbAMg9_KKSIhPz7-5gKe3Zd5qHycsjNSe4h8GIUqQ,3f172b46-f4a9-47c8-83ed-47ca0df9356c,75,56,59,I
,8W7R413sZeonGAWgUqfC9RT7jydxgq5enRNtqjKxm1-GEQBY0tbmMk4yL1-LBSHIFRh31YUi2BjwhA,afb9885f-3357-44ff-a197-92d563095659,55,76,48,I
,LWc3aV_ZZkb9vK3c9WFOyefjsvhes8Vzsjfnh16BziIrR07Myr77HHbpdsTOO-wHFyE-bnPLB8-ujQ,a86d8e74-084e-4c03-a4d1-66b7b39709d5,17,128,127,I
,ZBANapU9sG_w2Pa7OICFFnUEj5rvBST3ymdpOPITv33PCJuPslHGhMdnGJFFB3HSXLnoUekQyNpFdA,cc94fdf7-1f6d-4549-b605-236e0bb9ee54,75,136,110,I
,pn650EeTtglO_-ZXHW3Mc6_CVZX1vLHwIL-Xad4wlz4-gzuchhwjnWrEUO2M2OJxGjqeDudzeP_A1Q,b09c9e3a-3550-400e-b25d-9159e9fd073f,25,97,91,I
,zLrkba6W68V8PEptGMncVvLGSdUIyNXkU5dQzHcz0Hxn9ff_WmSxrNO4O-MUliDwQF6w7LH_0hTemw,f91e5688-7fb8-4025-9276-3477bed59609,63,25,17,I
,M0-GOJtp_Oeiy2t0hU65l-5s2C3gwE-ETo2oEYoRC9Sh2J-Y7WK01iiU-mSIBwCvvgl0GbHDGW0Qww,5f379625-2045-4642-a7d7-1973a658796b,85,62,57,I
,8TNyWoVb4xJMo4jfM0olDOMhsbtHFzAfAkiOTL1E_56iaPOM8B87I0yzX1ImrdOyOGoqDpAo9UweUw,8e4f9ec6-4248-49cf-90e6-5b061ab4971e,52,48,56,I
